
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Neu
# =============================================================================
# Welfare
# =============================================================================

welfare_overlay_severely_dehydrated     CREW STARK DEHYDRIERT
welfare_overlay_dehydrated              CREW DEHYDRIERT
welfare_overlay_thirsty                 CREW DURSTIG

welfare_overlay_famished                CREW VERHUNGERT
welfare_overlay_starving                CREW HUNGERT
welfare_overlay_hungry                  CREW HUNGRIG

# =============================================================================
# Equipment
# =============================================================================

equipment_temperature_short             TEMP
equipment_power                         ENERGIE
equipment_output                        ERGEBNIS
equipment_blocked                       BLOCKIERT

equipment_factory_stop                  STOPP
equipment_factory_stopped               ANGEHALTEN
equipment_factory_refine                *X veredeln
equipment_factory_make                  *X herstellen

equipment_robotarm_nopickup		        TYP AUSWÄHLEN
equipment_robotarm_pickupnone		    KEINE
equipment_robotarm_forcedrop			FORCE DROP

equipment_weaponsconsole_noselection       WAFFE AUSWÄHLEN
equipment_weaponsconsole_deselect          KEINE
equipment_weaponsconsole_locked            STECKPLATZ *X GESPERRT
equipment_weaponsconsole_extradescription  *X Verbundene Waffen
equipment_weaponsconsole_connected         Von Waffenskonsol gesteuert

factory_stockpileoutput                 LAGER
factory_stockpileoutput_tooltip         LAGER\n\nWenn diese Option aktiviert ist, werden die produzierten Artikel sofort in einen beliebigen Frachtlagerbereich entladen und der Artikel dort gelagert.\n\nWenn nicht aktiviert, bleibt der produzierte Artikel so lange dort, bis er irgendwo verwendet wird oder bis ein bestimmter Frachtraum verfügbar ist.

        
# =============================================================================
# Ship Editor
# =============================================================================

shipeditor_commit                       BESTÄTIGEN
shipeditor_shipyardrequired1            Du musst eine Werft aufsuchen,
shipeditor_shipyardrequired2            um die Änderungen umzusetzen.
shipeditor_mode_hull                    Hülle
shipeditor_tooltip_hull                 Verändere die Form der Hülle des Raumschiffs.
shipeditor_mode_interior                Böden
shipeditor_tooltip_interior             Schaffe im Inneren des Raumschiffs Platz für Kabinen.
shipeditor_mode_walls                   Wände
shipeditor_tooltip_walls                Ziehe in deinem Raumschiff Wände, um den Innenraum zu unterteilen.
shipeditor_mode_armour                  Panzerung
shipeditor_tooltip_armour               Rüste die Hülle mithilfe von Panzerplatten auf, die Schaden absorbieren
shipeditor_mode_habitation              Quartiere
shipeditor_tooltip_habitation           Erweitere die Quartiere, um eine größere Zahl an Crewmitgliedern und Passagieren unterbringen zu können.
shipeditor_mode_scaffold                Gerüst
shipeditor_tooltip_scaffold             Füge ein Gerüst hinzu, um Ausrüstung an der Außenseite des Schiffes zu unterstützen.
shipeditor_mode_dock                    Ankoppeln
shipeditor_tooltip_dock                 Montiere ein Kopplungssystem. Jedes Schiff braucht mindestens einen funktionierenden Kopplungsadapter.
shipeditor_mode_deconstruct             Zerstören
shipeditor_tooltip_deconstruct          Nimm das Schiff Quadrat für Quadrat auseinander.
shipeditor_mode_createship              Schiff erstellen
shipeditor_tooltip_createship           Erstelle ein neues Schiff von Grund auf.
shipeditor_mode_spawn                   Spawnen
shipeditor_tooltip_spawn                Spawne im Innern des Schiffs Ausrüstung und Ressourcen (nur im Kreativmodus).
shipeditor_brush_freehand               FREIHAND
shipeditor_brush_box                    KISTEN-TOOL
shipeditor_price_button                 Kosten

shipeditor_stat_Mass                    Masse
shipeditor_stat_Toughness               Belastbarkeit
shipeditor_stat_Capacity                Kapazität
shipeditor_stat_Value                   Wert

shipeditor_symmetry                     SYMMETRIE
shipeditor_symmetry_short               S
shipeditor_symmetry_leftclickdrag       [LMT] Ziehen
shipeditor_symmetry_rightclicktoggle    [RMT] Umschalten

    
# =============================================================================
# Interstellar Travel 
# =============================================================================

interstellar_travel						INTERSTELLARES REISEN

galaxymap_title							SEKTORENKARTE
galaxymap_entrysystem					Ankunft
galaxymap_exitsystem					Zum nächsten Sektor
galaxymap_fleet							FLOTTEN
galaxymap_unreachable					AUSSERHALB DER REICHWEITE
galaxymap_civilians                     ZIVILISTEN
galaxymap_noescape						KEIN ENTKOMMEN
galaxymap_colony						KOLONIE
galaxymap_starbase						STERNENBASIS
galaxymap_shipyard						WERFT
galaxymap_distresscall					NOTRUF
galaxymap_derelict						WRACK
galaxymap_hostile                       GEGNER
galaxymap_objectives                    SEKTORENVERTRÄGE
galaxymap_comet                         KOMET
sector_start                            HEIMATSEKTOR

galaxymap_endof                         ENDE DER
galaxymap_demo                          DEMO
galaxymap_playtest                      SPIELTEST


# =============================================================================
# Power Grid
# =============================================================================

powergrid_title							ENERGIEVERSORGUNGSNETZ
powergrid_power                         ENERGIE
powergrid_category_reactor              REAKTOR
powergrid_category_battery              AKKU
powergrid_category_engines              TRIEBWERKE
powergrid_category_FTL                  FTL
powergrid_category_weapons              WAFFEN
powergrid_category_defenses             VERTEIDIGUNG
powergrid_category_lifesupport          LEBENSERHALTUNG
powergrid_category_logistics			LOGISTIK
powergrid_category_science   			WISSENSCHAFT
powergrid_category_other                SONSTIGES


# =============================================================================
# Trade
# =============================================================================

trade_title                             HANDEL
trade_category_equipment                Ausrüstung
trade_category_resource                 Ressource
trade_category_reagent                  Reagens
trade_cash                              Bargeld
trade_confirm                           BESTÄTIGEN
trade_buy                               KAUFEN
trade_sell                              VERKAUFEN
trade_cannot                            UNGENÜGENDE
trade_afford                            MITTEL
trade_cannot_afford                     UNGENÜGENDE MITTEL
trade_cost                              Kosten
trade_cost_price                        Kosten: *X
trade_profit                            Gewinn
trade_showoutofstock                    Nicht Vorrätige anzeigen

trade_overlay_price                     PREIS
trade_overlay_them                      GEGENPARTEI
trade_overlay_you                       DU
trade_overlay_boxed                     [Verpackt]

trade_window_Energy                     Energie
trade_window_Propulsion                 Antrieb
trade_window_Habitation                 Quartiere
trade_window_Defense                    Verteidigung
trade_window_Industry                   Industrie
trade_window_Logistics                  Logistik
trade_window_Science                    Wissenschaft
trade_window_Resources                  Ressourcen
trade_window_Components                 Komponenten
trade_window_Crew                       Crew

trade_equipment_size                    – Größe: *X x *Y
trade_equipment_rotatable               – Drehbar
trade_equipment_powered                 – Mit Energie versorgt
trade_equipment_charge                  – Ladung (pro Nutzung): *X MW
trade_stack                             *Xer-Stapel
trade_boxed                             Verpackt
trade_component                         Komponente
trade_sell_ship                         SCHIFF VERKAUFEN

trade_allitems                          ALLE GEGENSTÄNDE

trade_tooltip_buy                       [LMT] Kaufen
trade_tooltip_sell                      [LMT] Verkaufen
trade_tooltip_cancel                    [RMT] Abbrechen
trade_tooltip_shift                     [UMSCHALT] x5
trade_ourstock                          Du hast *X an Bord:
trade_buying                            Ankauf: *X
trade_selling                           Verkauf: *X
trade_tooltip_canceltrade               [LMT] Abbrechen
trade_tooltip_cancelalltrade            [RMT] Alle abbrechen

trade_profit                            *X GEWINN
trade_cost                              KOSTEN: *X
trade_cash                              BARGELD: *x


# =============================================================================
# Tech Tree
# =============================================================================

techtree_title                          FORSCHUNG
techtree_researched                     ERFORSCHT
techtree_available                      VERFÜGBAR
techtree_unavailable                    ANFORDERUNGEN NICHT ERFÜLLT
techtree_in_progress                    FORSCHUNG LÄUFT
techtree_busy                           FORSCHER SIND BESCHÄFTIGT
techtree_cost_RP                        Kosten: *X FP
techtree_cost_CP                        Kosten: *X BP
techtree_cost_RP+CP                     Kosten: *X FP + *Y BP
techtree_currentResearch                Aktuelle Forschung:
techtree_researchPoints                 Forschungspunkte:
techtree_computationPoints              Berechnungspunkte:
techtree_rewards                        Belohnung:
techtree_unlocks                        Entsperrt:
techtree_boosts                         Leistungssteigerung:
techtree_blueprint                      Plan
techtree_deselect                       Abwählen
techtree_accept                         Forschung anfangen
techtree_warning                        ACHTUNG!
techtree_lose_progress                  Wenn ein neues Forschungsprojekt anfängt, alle Fortschritte des aktuellen werden verloren
techtree_missing_equipment              Für dieses Forschungsprojekt ist ein *X erforderlich

techtree_node_title_FluidLogistics1              Fluidlogistik Level 1
techtree_node_caption_FluidLogistics1            Schaltet den Bauplan für Kleinen Tank frei
techtree_node_title_FluidLogistics2              Fluidlogistik Level 2
techtree_node_caption_FluidLogistics2            Schaltet den Bauplan für Mittelgroßen Tank frei
techtree_node_title_FluidLogistics3              Fluidlogistik Level 3
techtree_node_caption_FluidLogistics3            Schaltet den Bauplan für Riesigen Tank frei

techtree_node_title_Automation                   Fabrikautomation
techtree_node_caption_Automation                 Schaltet den Bauplan für Schiene und Roboterarm frei
techtree_node_title_CompactAutomation            Kompakte Automatisierung
techtree_node_caption_CompactAutomation          Schaltet den Bauplan für Kurzer Roboterarm frei
techtree_node_title_SmartAutomation              Intelligente Automatisierung
techtree_node_caption_SmartAutomation            Schaltet den Bauplan für Intelligenter Roboterarm frei
techtree_node_title_Metallurgy1                  Metallurgie Level 1
techtree_node_caption_Metallurgy1                Schmelzofen produzieren 20 % mehr Leistung
techtree_node_title_Metallurgy2                  Metallurgie Level 2
techtree_node_caption_Metallurgy2                Schmelzofen produzieren 40 % mehr Leistung
techtree_node_title_EnergyTransmission           Energieübertragung
techtree_node_caption_EnergyTransmission         Schaltet den Bauplan für Energiesender und -empfänger frei
techtree_node_title_WeaponsConsoleExtraSlot1     Zusätzlicher Steckplatz für Waffenkonsole
techtree_node_caption_WeaponsConsoleExtraSlot1   Die Waffenkonsole kann jetzt mit 3 Waffen gleichzeitig verbunden werden
techtree_node_title_WeaponsConsoleExtraSlot2     Zusätzlicher Steckplatz für Waffenkonsole
techtree_node_caption_WeaponsConsoleExtraSlot2   Die Waffenkonsole kann jetzt mit 4 Waffen gleichzeitig verbunden werden

boost_SmelterEfficiency                 Schmelzofen Effizienz +*X%
special_WeaponsConsoleSlot3             Waffenkonsole dritter Steckplatz
special_WeaponsConsoleSlot4             Waffenkonsole vierter Steckplatz

techtree_editor_save                    ÄNDERUNGEN SPEICHERN
techtree_editor_reset                   BAUM NEU LADEN
techtree_award_title                    FORSCHUNG ABGESCHLOSSEN
award_rewards                           Belohnung

# =============================================================================
# Tactical Window
# =============================================================================

