
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nouveau
soundeditor_loopdelaytitle              Retard de boucle
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Prochain evenement

soundeditor_play                        Jouer
soundeditor_stop                        Arreter

soundparametereditor_title              Parametre sonore
soundparametereditor_typetitle          Type
soundparametereditor_linktitle          Lie à
soundparametereditor_updatetitle        Type de mise a jour
soundparametereditor_smoothing          Lissage
soundparametereditor_chaintitle         Chaine

soundeditor_newdsp                      Ajouter un DSP
sounddspeditor_title                    Editeur DSP
samplebankeditor_title                  Editeur de banques d'echantillons
samplebankeditor_addsample              Ajouter du son
samplebank                              (Banque d'echantillons)


# =============================================================================
# Main Menu
# =============================================================================

tagline									THE LAST STARSHIP
mainmenu_title							Menu principal 
mainmenu_newgameA 						Nouveau jeu - Praxis
mainmenu_newgameB                       Nouveau jeu - Sleek
mainmenu_newgameC                       Nouveau jeu - Inner Shapes
mainmenu_newgameD                       Nouveau jeu - Shipyard
mainmenu_newgameE                       Nouveau jeu - Large Logistics
mainmenu_savegame                       Sauvegarder la partie
mainmenu_loadgame                       Charger la partie
mainmenu_abandongame					Abandonner la partie
mainmenu_steamworkshop                  Steam Workshop
mainmenu_tweet                          Tweet My Starship!
mainmenu_legal                          Privacy / Legal

mainmenu_gamemode_survival              Survie
mainmenu_gamemode_survival_tooltip      Gardez une longueur d'avance sur une anomalie dévastatrice, aussi longtemps que possible.
mainmenu_gamemode_freeroam              Mode libre
mainmenu_gamemode_freeroam_tooltip      Vous etes libre de poursuivre n'importe quelle carriere a votre rythme. Aucune anomalie, pas de porte des etoiles.
mainmenu_gamemode_creative              Créatif
mainmenu_gamemode_creative_tooltip      Vous disposez de ressources illimitées pour construire le vaisseau de votre choix.
mainmenu_gamemode_industry              PROJET STARGATE
mainmenu_gamemode_industry_tooltip      Votre objectif est de rechercher et de construire une Porte des étoiles vers Andromede.

mainmenu_stargate_caption               Participez à la construction d'un megaprojet galactique : une porte des etoiles avec une portée suffisante pour atteindre notre galaxie voisine la plus proche, Andromede.

mainmenu_createship						DEVELOPPEUR Créer un vaisseau
mainmenu_loadship						DEVELOPPEUR Charger un vaisseau
mainmenu_loadgamedev                    DEVELOPPEUR Jeu de test de charge

mainmenu_exportship                     Exporter un vaisseau
mainmenu_importship                     Importer un vaisseau
mainmenu_importfriendly                 Importer un vaisseau allié
mainmenu_importhostile					Importer un vaisseau ennemi
mainmenu_tools							Outils de développement
mainmenu_quit 							Quitter

settings_analytics                      Analytique
settings_hud                            Afficher le HUD
settings_music                          Musique
settings_hudscale                       Interface
settings_mastervolume                   Volume Principal
settings_effectsvolume                  Volume des effets
settings_musicvolume                    Volume de la Musique
settings_fullscreen                     Plein écran
settings_resolution                     Résolution
settings_language                       Langue

legal_button                            Informations légales
wishlist_button                         Ajouter à la liste de souhaits
feedback_button                         Donner votre avis

toolsmenu_title                         Menu Outils
toolsmenu_dialogeditor                  Editeur de boites de dialogue
toolsmenu_spriteeditor                  Editeur de sprites
toolsmenu_close                         Fermer


# =============================================================================
# Steam Workshop Menu
# =============================================================================

steamworkshopmenu_title                         Steam Workshop Menu

# Save Games section on the left
steamworkshopmenu_savegamesectionlabel          ========================== Save Games ==========================
steamworkshopmenu_uploadsavegametitlelabel      Titre
steamworkshopmenu_uploadsavegamedesclabel       Description
steamworkshopmenu_uploadsavegame                Télécharger
steamworkshopmenu_updateselectedsavegame        Mettre à jour la sélection
steamworkshopmenu_savegamelegalagreementtext    En soumettant cet article, vous acceptez les
steamworkshopmenu_savegamelegalagreementbutton  conditions d'utilisation du workshop
steamworkshopmenu_uploadsavegameprogress        =
steamworkshopmenu_publishedsavegamelistlabel    Sauvegardes publiées
steamworkshopmenu_refreshpublishedsavegamelist  Rafraîchir la liste
steamworkshopmenu_subscribedsavegamelistlabel   Sauvegardes de jeux souscrites
steamworkshopmenu_refreshsubscribedsavegamelist Rafraîchir la liste
steamworkshopmenu_loadselectedsavegame          Charger

# Ship section on the right
steamworkshopmenu_shipsectionlabel              =============================== Ships ===============================
steamworkshopmenu_uploadshiptitlelabel          Titre
steamworkshopmenu_uploadshipdesclabel           descriptif
steamworkshopmenu_uploadship                    Télécharger
steamworkshopmenu_updateselectedship            Mettre à jour la sélection
steamworkshopmenu_shiplegalagreementtext        En soumettant cet article, vous acceptez les 
steamworkshopmenu_shiplegalagreementbutton      conditions d'utilisation de l'atelier
steamworkshopmenu_uploadshipprogress            =
steamworkshopmenu_publishedshiplistlabel        Navires publiés
steamworkshopmenu_refreshpublishedshiplist      Actualiser la liste
steamworkshopmenu_subscribedshiplistlabel       Navires abonnés
steamworkshopmenu_refreshsubscribedshiplist     Actualiser la liste
steamworkshopmenu_loadselectedship              Charger

steamworkshopmenu_close                         Fermer


# =============================================================================
# New Main Menu
# =============================================================================

newmainmenu_newgame                     NOUVEAU JEU
newmainmenu_loadgame                    CHARGEMENT DU JEU
newmainmenu_savegame                    SAUVEGARDER LA PARTIE
newmainmenu_settings                    PARAMETRES
newmainmenu_quit                        QUITTER
newmainmenu_abandon                     ABANDONNER LE JEU
newmainmenu_resume                      CONTINUER
newmainmenu_chooseship                  CHOISIR LE VAISSEAU DE DEPART
newmainmenu_begingame                   COMMENCER LE JEU
newmainmenu_shipeditor                  MODE CREATIF
newmainmenu_editship                    MODIFIER LE VAISSEAU
newmainmenu_loadship                    CHARGER LE NAVIRE
newmainmenu_loadgamedev                 CHARGER LE JEU (DEV)
newmainmenu_createship                  CREER UN NOUVEAU VAISSEAU
newmainmenu_createnewsave               CREER UNE NOUVELLE SAUVEGARDE
newmainmenu_exportship                  EXPORTER LE VAISSEAU
newmainmenu_includedocked               INCLURE LES VAISSEAUX A QUAI DANS L'EXPORTATION
newmainmenu_uploadship                  TELECHARGER SUR STEAM
newmainmenu_setshipname                 CHOISIR UN NOM DE VAISSEAU
newmainmenu_importhostile               IMPORTATION HOSTILE
newmainmenu_importfriendly              IMPORTATION AMI
newmainmenu_createnewexport             CREER UNE NOUVELLE EXPORTATION
newmainmenu_createnewupload             CREER UN NOUVEL ARTICLE DU WORKSHOP
newmainmenu_updateexistingupload        METTRE A JOUR L'ELEMENT EXISTANT DU WORKSHOP
newmainmenu_steamworkshop               WORKSHOP
newmainmenu_uploadprogress              PROGRES DU TELECHARGEMENT : *P %
newmainmenu_quitmessage                 The Last Starship sera disponible en accès anticipé ce printemps !\n\nMerci d'avoir joue a la demo de The Last Starship.\nSi vous avez aime le jeu, veuillez l'ajouter a votre liste de souhaits Steam afin que vous puissiez en savoir plus sur le jeu des que possible, des sa sortie.
newmainmenu_lockedindemo                VERROUILLE DANS LA DEMO
newmainmenu_multisystem_simulation      Activer la simulation multisystème
newmainmenu_debug_freespace             Activer le debogage FreeSpace

shiplibrary_hullonly                    (COQUE)

scenario_funds                          FONDS
scenario_praxis                         Un petit vaisseau scientifique doté de tout l'équipement nécessaire pour une aventure interstellaire et doté de suffisamment de fournitures pour un petit équipage.
scenario_sleek                          Une configuration plus complexe. Un grand vaisseau performant avec beaucoup de place pour des améliorations, mais tous les équipements et fournitures doivent être achetés avant l'embarquement.
scenario_innershapes                    Un autre grand vaisseau bien adapté au combat et aux opérations dangereuses, avec une coque avant entierement blindée.
scenario_largelogistics                 Une conception de vaisseau modulaire et facilement extensible, ideale pour la logistique interstellaire et les operations minières. Avec un espace cabine pour plus de 50 membres d'équipage ou passagers.
scenario_carrierfrigate                 Un fuselage communautaire construit par Zion - parfait pour le combat.
scenario_shipyard                       Construisez votre propre vaisseau ! Le fuselage existant est le minimum absolu, mais vous êtes amarré dans un chantier naval pleinement opérationnel avec un budget de depart génereux.
scenario_industry                       Le projet Stargate demande votre aide ! L'industrie et l'automatisation occupent une place centrale lorsque vous fabriquez des pièces pour un mégaprojet Porte des étoiles vers la galaxie d'Andromède.
origin_official                         Officiel
origin_community                        Communauté
origin_user                             Fabriqué par un joueur
origin_steam                            Abonné sur le Steam Workshop
origin_steamuser                        Téléchargé sur le Steam Workshop

# =============================================================================
# HUD
# =============================================================================

debugbuildpanel_hull					Coque
debugbuildpanel_scaffold				Echafaudage
debugbuildpanel_interior				Intérieur
debugbuildpanel_armour					Armure
debugbuildpanel_cable					Câble
debugbuildpanel_pipe					Tuyau
debugbuildpanel_equipment				Equipement
debugbuildpanel_floor					Etage
debugbuildpanel_habitation      		Habitation
debugbuildpanel_wall					Mur
debugbuildpanel_entity					Entité
debugbuildpanel_damage					Dommages
debugbuildpanel_frame                   Châssis

save_warning_header                     AVERTISSEMENT : chargement de la future version de sauvegarde
save_warning_body                       Vous avez chargé un jeu avec un futur format de sauvegarde, vous constaterez peut-être que certaines parties du jeu ne fonctionnent pas correctement

hudmode_tactical						TACTIQUE
hudmode_external						EXTERNE
hudmode_multisystemsimulation           SIMULATION MULTISYSTEME

hud_trade								Commerce
hud_preparejump							Préparer le saut
hud_abortjump							Abandonner le saut
hud_aligning							Alignement...
hud_outofalignment                      Mal aligné...
hud_idle								Inactif
hud_ready								PRET
hud_jump								SAUTER
hud_jumpnextsector						SAUTER AU SECTEUR SUIVANT
hud_ftlloading							Chargement...
hud_ftlcharging  						Recharge...
hud_ftlcooldown							Temps de recharge...
hud_ftl									Moteur FTL
hud_ftlincluded                         Saut
hud_ftlexcluded                         Rester
hud_noftl								AUCUN FTL TROUVE
hud_ftlnodestination					AUCUNE DESTINATION
hud_ftlwaiting                          En attente...
hud_debugbuild                          Débogage
hud_endcreativemode                     Le mode créatif se terminera
hud_endcreativemode2                    Lorsque vous passez à l'hyperespace
hud_endcreativemodewarning              QUITTER LE MODE CREATIF
hud_endcreativemodefull                 Le mode créatif se terminera lorsque vous passerez en hyperespace
hud_hyperspace                          HYPERESPACE

hud_direction_up                        Haut
hud_direction_right                     Droite
hud_direction_down                      Bas
hud_direction_left                      Gauche
hud_camerattracking                     Suivi de la caméra
hud_enabled                             Activé
hud_disabled                            Désactivé

hud_window_construction                 CONSTRUCTION
hud_window_designation					DESIGNATION
hud_window_shipyard                     CHANTIER NAVAL
hud_window_trade                        COMMERCE
hud_window_missions						CONTRATS
hud_window_power                        RESEAU ELECTRIQUE
hud_window_logistics                    LOGISTIQUE
hud_window_ftl                          FTL
hud_window_sectormap					CARTE DU SECTEUR
hud_window_score                        SCORE
hud_window_editor                       EDITEUR
hud_window_stargate                     PORTE DES ETOILES
hud_window_techtree                     RECHERCHE
hud_window_storage                      ZONES DE STOCKAGE

hud_scoresystem_population              Population
hud_scoresystem_sectorjump              Saut de secteur

hud_overlays							SUPERPOSITIONS
hud_overlay_cables                      Cables
hud_overlay_pipes                       Tuyaux
hud_overlay_walls                       Murs
hud_overlay_atmosphere                  Atmosphère
hud_overlay_exterior                    Extérieur
hud_overlay_habitation					Pont d'habitation
hud_overlay_jobs						Travails
hud_overlay_structure                   Structure
hud_overlay_schematic                   Schématique
hud_overlay_creativemode                - Mode Creatif -

hud_doors								PORTES
hud_doors_openall						Tout ouvrir
hud_doors_closeall						Tout fermer
hud_doors_openvents						Ouvrir les aérations
hud_doors_closevents					Fermer les aérations

hud_orders								ORDRES
hud_install                             Installer 
hud_uninstall							Démonter
hud_status_allocated					Alloué
hud_status_inprogress					En cours
hud_storage								Stockage
hud_zones								Zones
hud_storage_cargo						TOUTE LA CARGAISON
hud_storage_equipment				    TOUT L'EQUIPEMENT
hud_storage_component                   Tous les composants
hud_editor                              EDITEUR

hud_shipyard                            Chantier naval
hud_shipyard_buildhull					Construire la coque
hud_shipyard_buildinterior				Construire l'intérieur
hud_shipyard_buildarmour				Installer l'armure 
hud_shipyard_buildscaffold				Construire un échafaudage
hud_shipyard_buildhabitation            Ajouter un pont d'habitation
hud_shipyard_buildrepairone             Réparer 100 dégâts
hud_shipyard_buildrepairall             Réparer TOUS les dégâts
hud_shipyard_buildbuyfromlibrary        Acheter un vaisseau
hud_shipyard_selectship                 Sélectionnez un vaisseau

hud_tooltip_leftclickplace              [LMB] Placer
hud_tooltip_leftclickbuild              [LMB] Construire
hud_tooltip_leftclickdismantle          [LMB] Démonter
hud_tooltip_leftclickresearch           [LMB] Rechercher
hud_tooltip_rightclickcancel            [RMB] Annuler
hud_tooltip_rightclickclear             [RMB] Nettoyer
hud_tooltip_rightclickdelete            [RMB] Supprimer
hud_tooltip_rightclickpurge             [RMB] Purger
hud_tooltip_leftclickchangerecipe       [LMB] Recette de cycle
hud_tooltip_rightclickconfigure         [RMB] Configurer
hud_tooltip_rotate                      [R] Tourner
hud_tooltip_boxed                       [ENFERMER]
hud_tooltip_charge                      Charge
hud_totalproduction                     PRODUCTION TOTALE

hud_mission_collection                  COLLECTE DE MISSIONS EN COURS

hud_layer_hostile                       HOSTILE
hud_layer_derelict                      ABANDONNE
hud_layer_forsale                       [A VENDRE]

hud_trade_incoming                      COMMERCE EN COURS
hud_trade_owed                          COMMERCE DU
hud_drones_deployed                     ATTENTION - DRONES DEPLOYES: *X
hud_spacewalking_crew                   ATTENTION - EQUIPAGE DANS L'ESPACE: *X

hud_invalidplacement                    PLACEMENT INVALIDE
hud_invalidplacement_tooltip            Cet équipement ne peut pas fonctionner correctement lorsqu'il est installé dans cette position.

communicator_incomingcall               APPEL ENTRANT...

# =============================================================================
# Welfare
# =============================================================================

welfare_overlay_severely_dehydrated     EQUIPAGE GRAVEMENT DESHYDRATE
welfare_overlay_dehydrated              EQUIPAGE DESHYDRATE
welfare_overlay_thirsty                 L'EQUIPAGE A SOIF

welfare_overlay_famished                EQUIPAGE AFFAME
welfare_overlay_starving                L'EQUIPAGE A TRES FAIM
welfare_overlay_hungry                  L'EQUIPAGE A FAIM

# =============================================================================
# Equipment
# =============================================================================

equipment_temperature_short             TEMP
equipment_power                         ENERGIE
equipment_output                        SORTIE
equipment_blocked                       BLOQUE

equipment_factory_stop                  STOP
equipment_factory_stopped               ARRETE
equipment_factory_refine                raffiné *X
equipment_factory_make                  Faire *X

equipment_robotarm_nopickup		        SELECTIONNER LE GENRE
equipment_robotarm_pickupnone		    AUCUN
equipment_robotarm_forcedrop			LACHER

equipment_weaponsconsole_noselection       CHOISIR UNE ARME
equipment_weaponsconsole_deselect          AUCUN
equipment_weaponsconsole_locked            EMPLACEMENT *X VERROUILLE
equipment_weaponsconsole_extradescription  *X Armes connectées
equipment_weaponsconsole_connected         Contrôlé par la console d'armement

factory_stockpileoutput                 STOCKER
factory_stockpileoutput_tooltip         STOCKER\n\nLorsque cette case est cochée, les objets produits seront immédiatement déchargés dans n'importe quelle zone de stockage de fret, stockant ainsi l'objet.\n\nSi cette case n'est pas cochée, l'objet produit restera jusqu'à ce qu'il soit utilisé quelque part ou jusqu'à ce qu'un espace de chargement spécifique soit disponible.

        
# =============================================================================
# Ship Editor
# =============================================================================

shipeditor_commit                       CONFIRMER
shipeditor_shipyardrequired1            Vous devez vous arrimer à un chantier naval
shipeditor_shipyardrequired2            pour appliquer vos modifications
shipeditor_mode_hull                    Coque
shipeditor_tooltip_hull                 Modifiez la forme de la coque de votre vaisseau spatial
shipeditor_mode_interior                Sols
shipeditor_tooltip_interior             Voir l'intérieur de votre vaisseau spatial pour créer des cabines
shipeditor_mode_walls                   Murs
shipeditor_tooltip_walls                Construisez des murs à l'intérieur de votre vaisseau spatial pour diviser l'espace
shipeditor_mode_armour                  Armure
shipeditor_tooltip_armour               Améliorez votre coque avec des panneaux blindé pour absorber les dégâts
shipeditor_mode_habitation              Habitation
shipeditor_tooltip_habitation           Agrandissez votre pont d'habitation pour accueillir plus d'équipage et de passagers
shipeditor_mode_scaffold                Echafaudage
shipeditor_tooltip_scaffold             Ajoutez un échafaudage pour soutenir l'équipement à l'extérieur de votre vaisseau
shipeditor_mode_dock                    Dock
shipeditor_tooltip_dock                 Installez un sas d’amarrage. Chaque vaisseau a besoin d’au moins un sas d’amarrage fonctionnel.
shipeditor_mode_deconstruct             Détruire
shipeditor_tooltip_deconstruct          Démonter votre vaisseau carré par carré
shipeditor_mode_createship              Créer un vaisseau
shipeditor_tooltip_createship           Créer un tout nouveau vaisseau à partir de zéro
shipeditor_mode_spawn                   Spawn
shipeditor_tooltip_spawn                Générez de l'équipement et des ressources à l'intérieur de votre vaisseau. (Mode créatif uniquement)
shipeditor_brush_freehand               A MAIN LEVEE
shipeditor_brush_box                    BOITE A OUTILS
shipeditor_price_button                 Coût

shipeditor_stat_Mass                    Masse
shipeditor_stat_Toughness               Solidité
shipeditor_stat_Capacity                Capacité
shipeditor_stat_Value                   Valeur

shipeditor_symmetry                     SYMETRIE
shipeditor_symmetry_short               S
shipeditor_symmetry_leftclickdrag       [LMB] frottement
shipeditor_symmetry_rightclicktoggle    [RMB] Basculer

    
# =============================================================================
# Interstellar Travel 
# =============================================================================

interstellar_travel						VOYAGE INTERSTELLAIRE

galaxymap_title							CARTE DU SECTEUR
galaxymap_entrysystem					Arrivée
galaxymap_exitsystem					Vers le secteur suivant
galaxymap_fleet							FLOTTE
galaxymap_unreachable					INACCESSIBLE
galaxymap_civilians                     CIVILS
galaxymap_noescape						PAS D'ISSUE
galaxymap_colony						COLONIE
galaxymap_starbase						BASE STELLAIRE
galaxymap_shipyard						CHANTIER NAVAL
galaxymap_distresscall					APPEL DE DETRESSE
galaxymap_derelict						ABANDONNE
galaxymap_hostile                       HOSTILES
galaxymap_objectives                    CONTRATS DU SECTEUR
galaxymap_comet                         COMETE
sector_start                            SECTEUR DE DEPART

galaxymap_endof                         FIN DE
galaxymap_demo                          DEMO
galaxymap_playtest                      TEST DE JEU


# =============================================================================
# Power Grid
# =============================================================================

powergrid_title							RESEAU ELECTRIQUE
powergrid_power                         ENERGIE
powergrid_category_reactor              REACTEUR
powergrid_category_battery              BATTERIE
powergrid_category_engines              MOTEUR
powergrid_category_FTL                  FTL
powergrid_category_weapons              ARMES
powergrid_category_defenses             DEFENSES
powergrid_category_lifesupport          SUPPORT DE VIE
powergrid_category_logistics			LOGISTIQUE
powergrid_category_science   			SCIENCE
powergrid_category_other                AUTRE


# =============================================================================
# Trade
# =============================================================================

trade_title                             COMMERCE
trade_category_equipment                Equipement
trade_category_resource                 Ressource
trade_category_reagent                  Réactif
trade_cash                              Argent
trade_confirm                           CONFIRMER
trade_buy                               ACHETER
trade_sell                              VENDRE
trade_cannot                            PAS POSSIBLE
trade_afford                            POSSIBLE
trade_cannot_afford                     NE PEUT PAS SE PERMETTRE
trade_cost                              Coût
trade_cost_price                        Coût: *X
trade_profit                            Profit
trade_showoutofstock                    Afficher les ruptures de stock

trade_overlay_price                     PRIX
trade_overlay_them                      EUX
trade_overlay_you                       TU
trade_overlay_boxed                     [en boîte]

trade_window_Energy                     Energie
trade_window_Propulsion                 Propulsion
trade_window_Habitation                 Habitation
trade_window_Defense                    Defense
trade_window_Industry                   Industrie
trade_window_Logistics                  Logistique
trade_window_Science                    Science
trade_window_Resources                  Ressources
trade_window_Components                 Composants
trade_window_Crew                       Equipage

trade_equipment_size                    - Taille *X x *Y
trade_equipment_rotatable               - Rotatif
trade_equipment_powered                 - Alimenté
trade_equipment_charge                  - Coût (par utilisation) : *X MW
trade_stack                             Pile de *X
trade_boxed                             en boîte
trade_component                         Composant
trade_sell_ship                         VENDRE LE NAVIRE

trade_allitems                          TOUS LES ARTICLES

trade_tooltip_buy                       [LMB] Acheter
trade_tooltip_sell                      [LMB] Vendre
trade_tooltip_cancel                    [RMB] Annuler
trade_tooltip_shift                     [SHIFT] x5
trade_ourstock                          You have *X à bord
trade_buying                            Acheté *X
trade_selling                           vendre *X
trade_tooltip_canceltrade               [LMB] Annuler
trade_tooltip_cancelalltrade            [RMB] Annuler Tout

trade_profit                            *X PROFIT
trade_cost                              COUT *X
trade_cash                              ARGENT *x


# =============================================================================
# Tech Tree
# =============================================================================

techtree_title                          RECHERCHE
techtree_researched                     RECHERCHE
techtree_available                      DISPONIBLE
techtree_unavailable                    EXIGENCES NON SATISFAITES
techtree_in_progress                    RECHERCHE EN COURS
techtree_busy                           LES CHERCHEURS SONT OCCUPES
techtree_cost_RP                        Cout: *X RP
techtree_cost_CP                        Cout: *X CP
techtree_cost_RP+CP                     Cout: *X RP + *Y CP
techtree_currentResearch                Recherche actuelle:
techtree_researchPoints                 Points de recherche:
techtree_computationPoints              Points de calcul:
techtree_rewards                        Récompenses:
techtree_unlocks                        Déverrouille:
techtree_boosts                         Améliorations des performances:
techtree_blueprint                      Plan
techtree_deselect                       Désélectionner
techtree_accept                         Commencer la recherche
techtree_warning                        ATTENTION!
techtree_lose_progress                  Démarrer une nouvelle recherche fera perdre tout progrès sur le projet en cours
techtree_missing_equipment              Ce projet de recherche nécessite un *X pour être complété

techtree_node_title_FluidLogistics1              Recherche Fluide Niveau 1
techtree_node_caption_FluidLogistics1            Déverrouille le schéma pour le petit réservoir
techtree_node_title_FluidLogistics2              Recherche Fluide Niveau 2
techtree_node_caption_FluidLogistics2            Déverrouille le schéma pour le réservoir moyen
techtree_node_title_FluidLogistics3              Recherche Fluide Niveau 3
techtree_node_caption_FluidLogistics3            Déverrouille le schéma pour le grand réservoir
techtree_node_title_Automation                   Automatisation d'usine
techtree_node_caption_Automation                 Déverrouille le schéma pour la chenille et le bras du robot
techtree_node_title_CompactAutomation            Automatisation compacte
techtree_node_caption_CompactAutomation          Déverrouille le schéma du bras de robot court
techtree_node_title_SmartAutomation              Automatisation intelligente
techtree_node_caption_SmartAutomation            Déverrouille le schéma du bras de robot intelligent
techtree_node_title_Metallurgy1                  Métallurgie Niveau 1
techtree_node_caption_Metallurgy1                Les fonderies produisent 20 % de plus
techtree_node_title_Metallurgy2                  Métallurgie Niveau 2
techtree_node_caption_Metallurgy2                Les fonderies produisent 40 % de plus
techtree_node_title_EnergyTransmission           Transmission d'énergie
techtree_node_caption_EnergyTransmission         Déverrouille le schéma pour l'émetteur et le récepteur d'énergie
techtree_node_title_WeaponsConsoleExtraSlot1     Emplacement supplémentaire pour la console d'armement
techtree_node_caption_WeaponsConsoleExtraSlot1   La console d'armement peut désormais se connecter à 3 armes à la fois.
techtree_node_title_WeaponsConsoleExtraSlot2     Emplacement supplémentaire pour la console d'armement V2
techtree_node_caption_WeaponsConsoleExtraSlot2   La console d'armement peut désormais se connecter à 4 armes à la fois.

boost_SmelterEfficiency                 Efficacité de la fonderie +*X%
special_WeaponsConsoleSlot3             Console d'armement 3ème emplacement
special_WeaponsConsoleSlot4             Console d'armement 4ème emplacement

techtree_editor_save                    SAUVEGARDER LES MODIFICATIONS
techtree_editor_reset                   RECHARGER L'ARBRE
techtree_award_title                    RECHERCHE TERMINEE
award_rewards                           Récompenses

# =============================================================================
# Tactical Window
# =============================================================================

tactical_docked                         --- AMARRE ---
tactical_undock                         DESAMARRER
tactical_throttle                       MANETTE DE GAZ
tactical_detach_all                     DETACHER TOUT
tactical_velocity                       VITESSE
tactical_evasion                        EVASION
tactical_weapons                        ARMES
tactical_fire                           FEU
tactical_hold                           MAINTENIR
tactical_maneuvering                    MANOEUVRER
tactical_damaged                        ENDOMMAGE
tactical_reloading                      RECHARGEMENT
tactical_lowpower                       ENERGIE FAIBLE

# =============================================================================
# Logistics Window
# =============================================================================

logisticswindow_title                   LOGISTIQUE

logistics_tooltip_transfer              [LMB] Transférer 1 depuis *X


# =============================================================================
# Missions / Contracts
# =============================================================================

missions_title							CONTRATS
mission_accept							Accepter
mission_accepted						Accepté
mission_acceptonlayer                   Accepter et attribuer à *X
mission_assignedtolayer                 Accepté et attribué à L*X
mission_cannotassigntolayer             Impossible d'attribuer à *X

mission_episode_1                       EPISODE 1
mission_deliver							Livrer
mission_turnin							Remettre le contrat
mission_completed						COMPLETE
mission_missioncompleted                CONTRAT TERMINE
mission_paymenttitle                    Paiement
mission_paymentcash                     PAIEMENT *X
mission_payment							Le paiement sera de $*X.
mission_paymentinflation                (Le client offre *Xx en plus que d'habitude)
mission_paymentinflationpercent         (Le client offre *X% d'argent en plus que d'habitude)
mission_contractcompleted				Contrat terminé
mission_cannotaccept                    Vous ne pouvez pas accepter cette mission
mission_special                         Mission spéciale
mission_new                             NOUVEAU
mission_illegal                         ACTIVITE ILLEGALE
mission_assignedto                      (Assigné à *X)

mission_requires_equipment              Le contrat nécessite de l'équipement : *X
mission_requires_stock                  Le contrat exige *X
mission_requires_combatvessel           Le contrat nécessite un vaisseau de combat armé
mission_requires_cabinspace             Le contrat nécessite au moins *X cabines libres  
