
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nuevo
soundeditor_sourcetypetitle		        Sound Type
soundeditor_soundnametitle		        Sound Name

soundeditor_volumetitle			        Volume
soundeditor_frequencytitle              Frequency
soundeditor_mindistancetitle            Min Distance
soundeditor_attacktitle                 Attack
soundeditor_sustaintitle                Sustain
soundeditor_releasetitle                Release
soundeditor_loopdelaytitle              Loop Delay
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Next Event

soundeditor_play                        Play
soundeditor_stop                        Stop

soundparametereditor_title              Sound Parameter
soundparametereditor_typetitle          Type
soundparametereditor_linktitle          Linked To
soundparametereditor_updatetitle        Update Type
soundparametereditor_smoothing          Smoothing
soundparametereditor_chaintitle         Chain

soundeditor_newdsp                      Add DSP
sounddspeditor_title                    DSP Editor
samplebankeditor_title                  Sample Bank Editor
samplebankeditor_addsample              Add Sound
samplebank                              (Sample Bank)


# =============================================================================
# Main Menu
# =============================================================================

tagline									THE LAST STARSHIP
mainmenu_title							Menu Principal 
mainmenu_newgameA 						Nueva Partida - Praxis
mainmenu_newgameB                       Nueva Partida - Sleek
mainmenu_newgameC                       Nueva Partida - Inner Shapes
mainmenu_newgameD                       Nueva Partida - Shipyard
mainmenu_newgameE                       Nueva Partida - Large Logistics
mainmenu_savegame                       Guardar Partida
mainmenu_loadgame                       Cargar Partida
mainmenu_abandongame					Abandonar Partida
mainmenu_steamworkshop                  Steam Workshop
mainmenu_tweet                          Twittea mi nave!
mainmenu_legal                          Privacidad / Legal

mainmenu_gamemode_survival              Supervivencia
mainmenu_gamemode_survival_tooltip      Mantente un paso por delante de una devastadora anomalia, durante todo el tiempo que puedas.
mainmenu_gamemode_freeroam              Juego libre
mainmenu_gamemode_freeroam_tooltip      Eres libre de perseguir cualquier carrera o profesion a tu propio ritmo. Sin anomalia, Sin Puerta Estelar.
mainmenu_gamemode_creative              Creativo
mainmenu_gamemode_creative_tooltip      Tienes recursos infinitos para construir sin limites cualquier nave que quieras.
mainmenu_gamemode_industry              PROYECTO "PUERTA ESTELAR"
mainmenu_gamemode_industry_tooltip      Tu objetivo es desarrollar y construir una Puerta Estelar hacia la galaxia Andromeda.

mainmenu_stargate_caption               Take part in the construction of a galactic megaproject - a STARGATE with enough range to reach our nearest neighbouring galaxy ANDROMEDA

mainmenu_createship						DEVELOPER Create Ship
mainmenu_loadship						DEVELOPER Load Ship
mainmenu_loadgamedev                    DEVELOPER Load Test Game

mainmenu_exportship                     Exportar Nave
mainmenu_importship                     Importar Nave
mainmenu_importfriendly                 Importar Nave Aliada
mainmenu_importhostile					Importar Nave Hostil
mainmenu_tools							Herramientas de Desarrollador
mainmenu_quit 							Salir

settings_analytics                      Analytics
settings_analytics_tooltip              We need to collect usage data to help us to better understand how people are playing and to help us to improve the game. \n\nWe do not collect any personally identifiable information.\n\nTo find out more visit Legal Information (bottom of the screen)
settings_hud                            Mostrar HUD
settings_music                          Musica
settings_hudscale                       UI Scale
settings_mastervolume                   Volumen General
settings_effectsvolume                  Volumen de Efectos
settings_musicvolume                    Volumen de Musica
settings_fullscreen                     Pantalla Completa
settings_resolution                     Resolucion
settings_language                       Lenguaje

legal_button                            Informacion Legal
wishlist_button                         Añadir a Lista de Deseados
feedback_button                         Proporcionar Feedback

toolsmenu_title                         Menu de Herramientas
toolsmenu_dialogeditor                  Editor de Dialogo
toolsmenu_spriteeditor                  Editor de Sprites
toolsmenu_close                         Cerrar


# =============================================================================
# Steam Workshop Menu
# =============================================================================

steamworkshopmenu_title                         Steam Workshop Menu

# Save Games section on the left
steamworkshopmenu_savegamesectionlabel          ========================== Save Games ==========================
steamworkshopmenu_uploadsavegametitlelabel      Titulo
steamworkshopmenu_uploadsavegamedesclabel       Descripcion
steamworkshopmenu_uploadsavegame                Subir
steamworkshopmenu_updateselectedsavegame        Actualizar Seleccionado
steamworkshopmenu_savegamelegalagreementtext    By submitting this item, you agree to the
steamworkshopmenu_savegamelegalagreementbutton  workshop terms of service
steamworkshopmenu_uploadsavegameprogress        =
steamworkshopmenu_publishedsavegamelistlabel    Partidas Guardadas Publicadas
steamworkshopmenu_refreshpublishedsavegamelist  Actualizar Lista
steamworkshopmenu_subscribedsavegamelistlabel   Partidas Guardadas Subscritas
steamworkshopmenu_refreshsubscribedsavegamelist Actualizar Lista
steamworkshopmenu_loadselectedsavegame          Cargar

# Ship section on the right
steamworkshopmenu_shipsectionlabel              =============================== Ships ===============================
steamworkshopmenu_uploadshiptitlelabel          Nombre
steamworkshopmenu_uploadshipdesclabel           Descripcion
steamworkshopmenu_uploadship                    Subir
steamworkshopmenu_updateselectedship            Actualizar Seleccionado
steamworkshopmenu_shiplegalagreementtext        By submitting this item, you agree to the
steamworkshopmenu_shiplegalagreementbutton      workshop terms of service
steamworkshopmenu_uploadshipprogress            =
steamworkshopmenu_publishedshiplistlabel        Naves Publicadas
steamworkshopmenu_refreshpublishedshiplist      Actualizar Lista
steamworkshopmenu_subscribedshiplistlabel       Naves Subscritas
steamworkshopmenu_refreshsubscribedshiplist     Actualizar Lista
steamworkshopmenu_loadselectedship              Cargar

steamworkshopmenu_close                         Cerrar


# =============================================================================
# New Main Menu
# =============================================================================

newmainmenu_newgame                     NUEVA PARTIDA
newmainmenu_loadgame                    CARGAR PARTIDA
newmainmenu_savegame                    GUARDAR PARTIDA
newmainmenu_settings                    OPCIONES
newmainmenu_quit                        SALIR
newmainmenu_abandon                     ABANDONAR PARTIDA
newmainmenu_resume                      REANUDAR
newmainmenu_chooseship                  CHOOSE STARTING SHIP
newmainmenu_begingame                   COMENZAR PARTIDA
newmainmenu_shipeditor                  MODO CREATIVO
newmainmenu_editship                    EDITAR NAVE
newmainmenu_loadship                    CARGAR NAVE
newmainmenu_loadgamedev                 LOAD GAME (DEV)
newmainmenu_createship                  CREAR NUEVA NAVE
newmainmenu_createnewsave               CREAR NUEVO GUARDADO
newmainmenu_exportship                  EXPORTAR NAVE
newmainmenu_includedocked               INCLUDE DOCKED SHIPS IN EXPORT
newmainmenu_uploadship                  SUBIR A STEAM
newmainmenu_setshipname                 NOMBRAR NAVE
newmainmenu_importhostile               IMPORTAR HOSTIL
newmainmenu_importfriendly              IMPORTAR ALIADO
newmainmenu_createnewexport             CREATE NEW EXPORT
newmainmenu_createnewupload             CREATE NEW WORKSHOP ITEM
newmainmenu_updateexistingupload        UPDATE EXISTING WORKSHOP ITEM
newmainmenu_steamworkshop               STEAM WORKSHOP
newmainmenu_uploadprogress              UPLOAD PROGRESS: *P %
newmainmenu_quitmessage                 The Last Starship is coming to Early Access this Spring!\n\nThank you for playing the Demo of The Last Starship.\nIf you liked the game, please add it to your Steam Wish List so that you can hear about the game as soon as it has been released.
newmainmenu_lockedindemo                LOCKED IN DEMO
newmainmenu_multisystem_simulation      Enable Multi-system Simulation
newmainmenu_debug_freespace             Enable FreeSpace Debugging

shiplibrary_hullonly                    (HULL)

scenario_funds                          FONDOS
scenario_praxis                         A small science vessel with all necessary equipment for interstellar adventure, and provisioned with enough supplies for a small crew.
scenario_sleek                          A more complex setup. A large and capable ship with plenty of room for upgrades, but all equipment and supplies must be purchased before embarking.
scenario_innershapes                    Another large vessel well suited to combat and dangerous operations, with a fully armoured forward hull.
scenario_largelogistics                 A modular and easily expanded ship design, ideal for interstellar logistics and mining operations. With cabin space for over 50 crew or passengers.
scenario_carrierfrigate                 A community fuselage built by Zion - perfect for the violent pursuit of armed combat.
scenario_shipyard                       Build your own ship!  The absolute minimum ship fuselage, but you are docked at a fully operational Shipyard with a generous starting budget.
scenario_industry                       The Stargate Project demands your help! Industry and Automation take centre stage as you manufacture parts for a megaproject stargate to the Andromeda Galaxy.
origin_official                         Official
origin_community                        Community
origin_user                             Hecho por Jugador/a
origin_steam                            Subscribed on Steam Workshop
origin_steamuser                        Uploaded to Steam Workshop

# =============================================================================
# HUD
# =============================================================================

debugbuildpanel_hull					Casco
debugbuildpanel_scaffold				Andamio
debugbuildpanel_interior				Interior
debugbuildpanel_armour					Blindaje
debugbuildpanel_cable					Cable
debugbuildpanel_pipe					Tubería
debugbuildpanel_equipment				Equipamiento
debugbuildpanel_floor					Piso
debugbuildpanel_habitation      		Habitation
debugbuildpanel_wall					Pared
debugbuildpanel_entity					Entity
debugbuildpanel_damage					Daño
debugbuildpanel_frame                   Frame

save_warning_header                     ADVERTENCIA: Loading future save version
save_warning_body                       You have loaded a game with a future save format, you may experience that some parts of the game do not work correctly

hudmode_tactical						VISTA TACTICA
hudmode_external						VISTA EXTERNA
hudmode_multisystemsimulation           SIMULACION MULTISISTEMA

hud_trade								Comercio
hud_preparejump							Preparar Salto
hud_abortjump							Abortar Salto
hud_aligning							Alineando...
hud_outofalignment                      Alineacion Falsa...
hud_idle								En Espera
hud_ready								LISTO
hud_jump								SALTO
hud_jumpnextsector						SALTAR AL SIGUIENTE SECTOR
hud_ftlloading							Cargando...
hud_ftlcharging  						Energizando...
hud_ftlcooldown							Cooldown...
hud_ftl									Motor FTL
hud_ftlincluded                         Jump
hud_ftlexcluded                         Stay
hud_noftl								NO SE HA ENCONTRADO MOTOR FTL
hud_ftlnodestination					SIN PUNTO DESTINO
hud_ftlwaiting                          Esperando...
hud_debugbuild                          Debug
hud_endcreativemode                     El Modo Creativo terminará
hud_endcreativemode2                    Cuando saltes al Hiperespacio
hud_endcreativemodewarning              SALIENDO DEL MODO CREATIVO
hud_endcreativemodefull                 El Modo Creativo terminará cuando saltes al Hiperespacio
hud_hyperspace                          HYPERESPACIO

hud_direction_up                        Babor
hud_direction_right                     Proa
hud_direction_down                      Estribor
hud_direction_left                      Popa
hud_camerattracking                     Seguimiento de Camara
hud_enabled                             Activado
hud_disabled                            Desactivado

hud_window_construction                 CONSTRUCCION
hud_window_designation					DESIGNATION
hud_window_shipyard                     ASTILLERO
hud_window_trade                        COMERCIO
hud_window_missions						CONTRATOS
hud_window_power                        POWERGRID
hud_window_logistics                    LOGISTICA
hud_window_ftl                          FTL
hud_window_sectormap					MAPA DEL SECTOR
hud_window_score                        PUNTUACION
hud_window_editor                       EDITOR
hud_window_stargate                     PUERTA ESTELAR
hud_window_techtree                     INVESTIGACION
hud_window_storage                      ZONAS DE ALMACENADO

hud_scoresystem_population              Poblacion
hud_scoresystem_sectorjump              Sector Jump

hud_overlays							OVERLAYS
hud_overlay_cables                      Cables
hud_overlay_pipes                       Tuberias
hud_overlay_walls                       Paredes
hud_overlay_atmosphere                  Atmosfera
hud_overlay_exterior                    Exterior
hud_overlay_habitation					Habitation Deck
hud_overlay_jobs						Trabajos
hud_overlay_structure                   Estructura
hud_overlay_schematic                   Schematic
hud_overlay_creativemode                - Creative Mode -

hud_doors								CONPUERTAS
hud_doors_openall						Abrir Todas
hud_doors_closeall						Cerrar Todas
hud_doors_openvents						Rejillas de Ventilacion Abiertas
hud_doors_closevents					Rejillas de Ventilacion Cerradas

hud_orders								ORDENES
hud_install                             Instalar
hud_uninstall							Desmantelar
hud_status_allocated					Asignado
hud_status_inprogress					En Progreso
hud_storage								Zonas de
hud_zones								Almacenaje
hud_storage_cargo						CUALQUIER CARGA
hud_storage_equipment				    CUALQUIER EQUIPAMIENTO
hud_storage_component                   CUALQUIER COMPONENTE
hud_editor                              EDITOR

hud_shipyard                            Astillero
hud_shipyard_buildhull					Construir Estructura
hud_shipyard_buildinterior				Construir Interior
hud_shipyard_buildarmour				Instalar Blindaje 
hud_shipyard_buildscaffold				Construir Andamios
hud_shipyard_buildhabitation            Añadir Superficie Habitable
hud_shipyard_buildrepairone             Reparar 100 Daño
hud_shipyard_buildrepairall             Reparar TODO el Daño
hud_shipyard_buildbuyfromlibrary        Comprar Nave
hud_shipyard_selectship                 Seleccionar una Nave

hud_tooltip_leftclickplace              [LMB] Ubicar
hud_tooltip_leftclickbuild              [LMB] Construir
hud_tooltip_leftclickdismantle          [LMB] Desmantelar
hud_tooltip_leftclickresearch           [LMB] Investigar
hud_tooltip_rightclickcancel            [RMB] Cancelar
hud_tooltip_rightclickclear             [RMB] Clear
hud_tooltip_rightclickdelete            [RMB] Delete
hud_tooltip_rightclickpurge             [RMB] Purgar
hud_tooltip_leftclickchangerecipe       [LMB] Ciclar receta
hud_tooltip_rightclickconfigure         [RMB] Configurar
hud_tooltip_rotate                      [R] Rotar
hud_tooltip_boxed                       [BOXED]
hud_tooltip_charge                      Charge
hud_totalproduction                     PRODUCCION TOTAL

hud_mission_collection                  COLECCION PARA MISION EN PROGRESO

hud_layer_hostile                       HOSTIL
hud_layer_derelict                      DERELICTO
hud_layer_forsale                       [EN VENTA]

hud_trade_incoming                      TRADE INCOMING
hud_trade_owed                          TRADE OWED
hud_drones_deployed                     ADVERTENCIA - DRONES DESPLEGADOS: *X
hud_spacewalking_crew                   ADVERTENCIA - TRIPULANTES EN EL ESPACIO: *X

hud_invalidplacement                    UBICACION INVALIDA
hud_invalidplacement_tooltip            Este equipo no puede funcionar correctamente debido a su posicion actual.

communicator_incomingcall               LLAMADA ENTRANTE...

# =============================================================================
# Welfare
# =============================================================================

welfare_overlay_severely_dehydrated     TRIPULACION SEVERAMENTE DESHIDRATADA
welfare_overlay_dehydrated              TRIPULACION DESHIDRATADA
welfare_overlay_thirsty                 TRIPULACION SEDIENTA

welfare_overlay_famished                TRIPULACION SEVERAMENTE HAMBRIENTA
welfare_overlay_starving                TRIPULACION MUY HAMBRIENTA
welfare_overlay_hungry                  TRIPULACION HAMBRIENTA

# =============================================================================
# Equipment
# =============================================================================

equipment_temperature_short             TEMP
equipment_power                         ENERGÍA
equipment_output                        OUTPUT
equipment_blocked                       BLOQUEADO

equipment_factory_stop                  PARAR
equipment_factory_stopped               PARADO
equipment_factory_refine                Refinar *X
equipment_factory_make                  Producir *X

equipment_robotarm_nopickup		        SELECCIONAR TIPO
equipment_robotarm_pickupnone		    NINGUNO
equipment_robotarm_forcedrop			FORCE DROP

equipment_weaponsconsole_noselection       SELECCIONAR ARMAMENTO
equipment_weaponsconsole_deselect          NINGUNO
equipment_weaponsconsole_locked            SLOT *X BLOQUEADO
equipment_weaponsconsole_extradescription  *X Armas Conectadas
equipment_weaponsconsole_connected         Controlado por Consola de Armamento

factory_stockpileoutput                 STOCKPILE
factory_stockpileoutput_tooltip         STOCKPILE\n\nWhen ticked, the produced items will be immediately unloaded into any cargo storage area, stockpiling the item.\n\nIf unticked, the produced item will remain until it is used somewhere, or until there is specific cargo space available.

        
# =============================================================================
# Ship Editor
# =============================================================================

shipeditor_commit                       CONFIRMAR
shipeditor_shipyardrequired1            Debes estar en un Astillero
shipeditor_shipyardrequired2            para aplicar las modificaciones
shipeditor_mode_hull                    Casco
shipeditor_tooltip_hull                 Modifica la forma del Casco de tu nave
shipeditor_mode_interior                Pisos
shipeditor_tooltip_interior             Abre el interior de tu nave para crear cabinas.
shipeditor_mode_walls                   Paredes
shipeditor_tooltip_walls                Construye paredes dentro de tu nave para particionar el espacio interior
shipeditor_mode_armour                  Blindaje
shipeditor_tooltip_armour               Mejora tu Casco con blindaje para poder absorber mas daño
shipeditor_mode_habitation              Habitacion
shipeditor_tooltip_habitation           Expande tu espacio habitable para tener mas tripulacion y pasajeros
shipeditor_mode_scaffold                Andamios
shipeditor_tooltip_scaffold             Añade andamiaje para soportar equipamiento en el exterior de tu nave
shipeditor_mode_dock                    Dock
shipeditor_tooltip_dock                 Install a docking port. Every ship needs at least one functioning docking port.
shipeditor_mode_deconstruct             Destruir
shipeditor_tooltip_deconstruct          Deconstruye tu nave bloque por bloque
shipeditor_mode_createship              Crear Nave
shipeditor_tooltip_createship           Crea una nueva Nave completamente desde cero
shipeditor_mode_spawn                   Spawn
shipeditor_tooltip_spawn                Spawn equipment and resources inside your ship. (Creative Mode only)
shipeditor_brush_freehand               FREEHAND
shipeditor_brush_box                    BOX TOOL
shipeditor_price_button                 Cost

shipeditor_stat_Mass                    Masa
shipeditor_stat_Toughness               Resistencia
shipeditor_stat_Capacity                Capacidad
shipeditor_stat_Value                   Valor Monetario

shipeditor_symmetry                     SYMETRÍA
shipeditor_symmetry_short               S
shipeditor_symmetry_leftclickdrag       [LMB] Arrastrar
shipeditor_symmetry_rightclicktoggle    [RMB] Toggle

    
# =============================================================================
# Interstellar Travel 
# =============================================================================

interstellar_travel						NAVEGACION INTERESTELAR

galaxymap_title							SECTOR MAP
galaxymap_entrysystem					Llegada
galaxymap_exitsystem					Al Siguiente Sector
galaxymap_fleet							FLOTA
galaxymap_unreachable					INALCANZABLE
galaxymap_civilians                     CIVILES
galaxymap_noescape						SIN ESCAPE
galaxymap_colony						COLONIA
galaxymap_starbase						BASE ESTELAR
galaxymap_shipyard						SHIPYARD
galaxymap_distresscall					LLAMADA DE AUXILIO
galaxymap_derelict						DERELICT
galaxymap_hostile                       HOSTILES
galaxymap_objectives                    CONTRATOS DE SECTOR
galaxymap_comet                         COMETA
sector_start                            HOME SECTOR

galaxymap_endof                         END OF
galaxymap_demo                          DEMO
galaxymap_playtest                      PLAYTEST


# =============================================================================
# Power Grid
# =============================================================================

powergrid_title							POWER GRID
powergrid_power                         ENERGÍA
powergrid_category_reactor              REACTOR
powergrid_category_battery              BATERÍA
powergrid_category_engines              MOTORES
powergrid_category_FTL                  FTL
powergrid_category_weapons              ARMAMENTO
powergrid_category_defenses             DEFENSAS
powergrid_category_lifesupport          SOPORTE VITAL
powergrid_category_logistics			LOGISTICA
powergrid_category_science   			CIENCIA
powergrid_category_other                OTROS


# =============================================================================
# Trade
# =============================================================================

trade_title                             COMERCIO
trade_category_equipment                Equipamiento
trade_category_resource                 Recurso
trade_category_reagent                  Reagent
trade_cash                              Dinero
trade_confirm                           CONFIRMAR
trade_buy                               COMPRAR
trade_sell                              VENDER
trade_cannot                            CANNOT
trade_afford                            AFFORD
trade_cannot_afford                     CANNOT AFFORD
trade_cost                              Costo
trade_cost_price                        Costo: *X
trade_profit                            Beneficios
trade_showoutofstock                    Show out of stock

trade_overlay_price                     PRECIO
trade_overlay_them                      ELLOS
trade_overlay_you                       TU
trade_overlay_boxed                     [boxed]

trade_window_Energy                     Energía
trade_window_Propulsion                 Propulsion
trade_window_Habitation                 Habitation
trade_window_Defense                    Defensa
trade_window_Industry                   Industria
trade_window_Logistics                  Logistica
trade_window_Science                    Ciencia
trade_window_Resources                  Recursos
trade_window_Components                 Componentes
trade_window_Crew                       Tripulacion

trade_equipment_size                    - Size *X x *Y
trade_equipment_rotatable               - Rotatable
trade_equipment_powered                 - Powered
trade_equipment_charge                  - Charge (per use) : *X MW
trade_stack                             Stack of *X
trade_boxed                             En Caja
trade_component                         Componente
trade_sell_ship                         VENDER NAVE

trade_allitems                          ALL ITEMS

trade_tooltip_buy                       [LMB] Comprar
trade_tooltip_sell                      [LMB] Vender
trade_tooltip_cancel                    [RMB] Cancelar
trade_tooltip_shift                     [SHIFT] x5
trade_ourstock                          Tu tienes *X a bordo
trade_buying                            Comprando *X
trade_selling                           Vendiendo *X
trade_tooltip_canceltrade               [LMB] Cancelar
trade_tooltip_cancelalltrade            [RMB] Cancelar Todos

trade_profit                            *X BENEFICIO
trade_cost                              COSTO *X
trade_cash                              DINERO *x


# =============================================================================
# Tech Tree
# =============================================================================

techtree_title                          RESERACH
techtree_researched                     INVESTIGADO
techtree_available                      DISPONIBLE
techtree_unavailable                    REQUERIMIENTOS NO CUMPLIDOS
techtree_in_progress                    INVESTIGACION EN CURSO
techtree_busy                           LOS CIENTIFICOS ESTAN OCUPADOS
techtree_cost_RP                        Coste: *X RP
techtree_cost_CP                        Coste: *X CP
techtree_cost_RP+CP                     Coste: *X RP + *Y CP
techtree_currentResearch                Investigando Actualmente:
techtree_researchPoints                 Puntos de Investigacion:
techtree_computationPoints              Puntos de Computacion:
techtree_rewards                        Recompensas:
techtree_unlocks                        Desbloquea:
techtree_boosts                         Empuje de Performance:
techtree_blueprint                      Blueprint
techtree_deselect                       Deseleccionar
techtree_accept                         Empezar Desarrollo
techtree_warning                        ADVERTENCIA!
techtree_lose_progress                  Empezar un nuevo projecto de Investigacion borrara el progreso de el projecto actual
techtree_missing_equipment              Este projecto de Investigacion requiere de un *X para ser completado

techtree_node_title_FluidLogistics1              Logisticas de Fluidos Nivel 1
techtree_node_caption_FluidLogistics1            Desbloquea los planos del Tanque Pequeño
techtree_node_title_FluidLogistics2              Logisticas de Fluidos Nivel 2
techtree_node_caption_FluidLogistics2            Desbloquea los planos del Tanque Mediano
techtree_node_title_FluidLogistics3              Logisticas de Fluidos Nivel 3
techtree_node_caption_FluidLogistics3            Desbloquea los planos del Tanque Grande
techtree_node_title_Automation                   Automatizacion Industrial
techtree_node_caption_Automation                 Desbloquea los planos del Brazo Robotico y la Cinta Transportadora
techtree_node_title_CompactAutomation            Automatizacion Conpacta
techtree_node_caption_CompactAutomation          Desbloquea los planos del Brazo Robotico Corto
techtree_node_title_SmartAutomation              Automatizacion Inteligente
techtree_node_caption_SmartAutomation            Desbloquea los planos del Brazo Robotico Inteligente
techtree_node_title_Metallurgy1                  Metalurgia Level 1
techtree_node_caption_Metallurgy1                Alto Hornos producen un 20% mas
techtree_node_title_Metallurgy2                  Metalurgia Level 2
techtree_node_caption_Metallurgy2                Alto Hornos producen un 40% mas
techtree_node_title_EnergyTransmission           Transmision de Energía
techtree_node_caption_EnergyTransmission         Desbloquea los planos del Transmisor y el Receptor de Energía
techtree_node_title_WeaponsConsoleExtraSlot1     Consola Armamentistica Espacio Extra
techtree_node_caption_WeaponsConsoleExtraSlot1   La consola de Armas ahora puede conectar con 3 armamentos a la vez
techtree_node_title_WeaponsConsoleExtraSlot2     Consola Armamentistica Espacio Extra
techtree_node_caption_WeaponsConsoleExtraSlot2   La consola de Armas ahora puede conectar con 4 armamentos a la vez
boost_SmelterEfficiency                 Smelter Efficiency +*X%
special_WeaponsConsoleSlot3             Weapons Console 3rd Slot
special_WeaponsConsoleSlot4             Weapons Console 4th Slot

techtree_editor_save                    GUARDAR CAMBIOS
techtree_editor_reset                   RELOAD TREE
techtree_award_title                    INVESTIGACION COMPLETADA
award_rewards                           Recompensas

# =============================================================================
# Tactical Window
# =============================================================================

tactical_docked                         --- DOCKED ---
tactical_undock                         UNDOCK
tactical_throttle                       ACELERADOR
tactical_detach_all                     DESACOPLAR TODO
tactical_velocity                       VELOCIDAD
tactical_evasion                        EVASION
tactical_weapons                        ARMAS
tactical_fire                           FUEGO
tactical_hold                           AGUANTAR
tactical_maneuvering                    MANIOBRA
tactical_damaged                        DAÑADO
tactical_reloading                      RECARGANDO
tactical_lowpower                       ENERGÍA BAJA

# =============================================================================
# Logistics Window
# =============================================================================

logisticswindow_title                   LOGISTICA

logistics_tooltip_transfer              [LMB] Transfer 1 from *X


# =============================================================================
# Missions / Contracts
# =============================================================================

missions_title							CONTRACTS
mission_accept							Aceptar
mission_accepted						Aceptado
mission_acceptonlayer                   Aceptar y asignar a *X
mission_assignedtolayer                 Aceptado y asignado a L*X
mission_cannotassigntolayer             No se puede asignar a *X

mission_episode_1                       EPISODIO 1
mission_deliver							Entregar
mission_turnin							Completar el Contrato
mission_completed						COMPLETADO
mission_missioncompleted                CONTRATO COMPLETADO
mission_paymenttitle                    Pago
mission_paymentcash                     PAGO *X
mission_payment							Payment will be $*X.
mission_paymentinflation                (El cliente ofrece *Xx mas dinero de lo usual)
mission_paymentinflationpercent         (El cliente ofrece *X% mas dinero de lo usual)
mission_contractcompleted				Contrato Completado
mission_cannotaccept                    No puedes aceptar esta mision
mission_special                         Mision Especial
mission_new                             NUEVO
mission_illegal                         ACTIVIDAD ILEGAL
mission_assignedto                      (Assigned to *X)

mission_requires_equipment              Contrato requiere Equipamiento : *X
mission_requires_stock                  Contrato requiere *X
mission_requires_combatvessel           Contrato requiere una nave con armamento
mission_requires_cabinspace             Contrato requiere al menos *X cabinas libres 
mission_requires_combatrating           Necesitas un Rating de Combate de al menos *X
mission_requires_industryrating         Necesitas un Rating de Industria de al menos *X
mission_requires_logisticsrating        Necesitas un Rating de Logistica de al menos *X
mission_requires_humanitarianrating     Necesitas un Rating Humanitario de al menos *X
mission_requires_notindemo              No disponible para jugadores de la Demo
mission_difficulty                      Esta mision ha sido asignada una difcultad de *X.

mission_requirement_passed              [PASADO]
mission_requirement_failed              [FALLIDO]

mission_type_delivery					Delivery
mission_delivery_title					Courier mission: Llevar carga a otro sistema
mission_delivery_titlefurther			Llevar carga a otro sector
mission_delivery_description			Tengo *X cajas de suministros que necesitan ser entregadas.
mission_delivery_descriptionfurther		Su destino esta a *Y Saltos de Sector de distancia, en el Sector *X.
mission_delivery_destination			Su destino esta en este sector, en el sistema estelar *X.
mission_delivery_timed                  Esta carga es requerida de inmediato. Solo tendrás *X minutos. (+50% pago)
mission_delivery_timeremaining          Solo le quedan *X segundos para hacer la entrega!
