
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              New
newmainmenu_newgame                     NEW GAME
newmainmenu_loadgame                    LOAD GAME
newmainmenu_savegame                    SAVE GAME
newmainmenu_settings                    SETTINGS
newmainmenu_quit                        QUIT
newmainmenu_abandon                     ABANDON GAME
newmainmenu_resume                      RESUME
newmainmenu_chooseship                  CHOOSE STARTING SHIP
newmainmenu_begingame                   BEGIN GAME
newmainmenu_shipeditor                  CREATIVE MODE
newmainmenu_editship                    EDIT SHIP
newmainmenu_loadship                    LOAD SHIP
newmainmenu_loadgamedev                 LOAD GAME (DEV)
newmainmenu_createship                  CREATE NEW SHIP
newmainmenu_createnewsave               CREATE NEW SAVE
newmainmenu_exportship                  EXPORT SHIP
newmainmenu_includedocked               INCLUDE DOCKED SHIPS IN EXPORT
newmainmenu_uploadship                  UPLOAD TO STEAM
newmainmenu_setshipname                 SET SHIP NAME
newmainmenu_importhostile               IMPORT HOSTILE
newmainmenu_importfriendly              IMPORT FRIENDLY
newmainmenu_createnewexport             CREATE NEW EXPORT
newmainmenu_createnewupload             CREATE NEW WORKSHOP ITEM
newmainmenu_updateexistingupload        UPDATE EXISTING WORKSHOP ITEM
newmainmenu_steamworkshop               STEAM WORKSHOP
newmainmenu_uploadprogress              UPLOAD PROGRESS: *P %
newmainmenu_quitmessage                 The Last Starship is coming to Early Access this Spring!\n\nThank you for playing the Demo of The Last Starship.\nIf you liked the game, please add it to your Steam Wish List so that you can hear about the game as soon as it has been released.
newmainmenu_lockedindemo                LOCKED IN DEMO
newmainmenu_multisystem_simulation      Enable Multi-system Simulation
newmainmenu_debug_freespace             Enable FreeSpace Debugging

shiplibrary_hullonly                    (HULL)

scenario_funds                          FUNDS
scenario_praxis                         A small science vessel with all necessary equipment for interstellar adventure, and provisioned with enough supplies for a small crew.
scenario_sleek                          A more complex setup. A large and capable ship with plenty of room for upgrades, but all equipment and supplies must be purchased before embarking.
scenario_innershapes                    Another large vessel well suited to combat and dangerous operations, with a fully armoured forward hull.
scenario_largelogistics                 A modular and easily expanded ship design, ideal for interstellar logistics and mining operations. With cabin space for over 50 crew or passengers.
scenario_carrierfrigate                 A community fuselage built by Zion - perfect for the violent pursuit of armed combat.
scenario_shipyard                       Build your own ship!  The absolute minimum ship fuselage, but you are docked at a fully operational Shipyard with a generous starting budget.
scenario_industry                       The Stargate Project demands your help! Industry and Automation take centre stage as you manufacture parts for a megaproject stargate to the Andromeda Galaxy.
origin_official                         Official
origin_community                        Community
origin_user                             Player-made
origin_steam                            Subscribed on Steam Workshop
origin_steamuser                        Uploaded to Steam Workshop

# =============================================================================
# HUD
# =============================================================================

debugbuildpanel_hull					Hull
debugbuildpanel_scaffold				Scaffold
debugbuildpanel_interior				Interior
debugbuildpanel_armour					Armour
debugbuildpanel_cable					Cable
debugbuildpanel_pipe					Pipe
debugbuildpanel_equipment				Equipment
debugbuildpanel_floor					Floor
debugbuildpanel_habitation      		Habitation
debugbuildpanel_wall					Wall
debugbuildpanel_entity					Entity
debugbuildpanel_damage					Damage
debugbuildpanel_frame                   Frame

save_warning_header                     WARNING: Loading future save version
save_warning_body                       You have loaded a game with a future save format, you may experience that some parts of the game do not work correctly

hudmode_tactical						TACTICAL
hudmode_external						EXTERNAL
hudmode_multisystemsimulation           MULTISYSTEM SIMULATION

hud_trade								Trade
hud_preparejump							Prepare Jump
hud_abortjump							Abort Jump
hud_aligning							Aligning...
hud_outofalignment                      Misaligned...
hud_idle								Idle
hud_ready								READY
hud_jump								JUMP
hud_jumpnextsector						JUMP TO NEXT SECTOR
hud_ftlloading							Loading...
hud_ftlcharging  						Charging...
hud_ftlcooldown							Cooldown...
hud_ftl									FTL Drive
hud_ftlincluded                         Jump
hud_ftlexcluded                         Stay
hud_noftl								NO FTL FOUND
hud_ftlnodestination					NO DESTINATION
hud_ftlwaiting                          Waiting...
hud_debugbuild                          Debug
hud_endcreativemode                     Creative Mode will end
hud_endcreativemode2                    When you jump to hyperspace
hud_endcreativemodewarning              LEAVING CREATIVE MODE
hud_endcreativemodefull                 Creative Mode will end when you jump to hyperspace
hud_hyperspace                          HYPERSPACE

hud_direction_up                        Port
hud_direction_right                     Forward
hud_direction_down                      Starboard
hud_direction_left                      Aft
hud_camerattracking                     Camera Tracking
hud_enabled                             Enabled
hud_disabled                            Disabled

hud_window_construction                 CONSTRUCTION
hud_window_designation					DESIGNATION
hud_window_shipyard                     SHIPYARD
hud_window_trade                        TRADE
hud_window_missions						CONTRACTS
hud_window_power                        POWERGRID
hud_window_logistics                    LOGISTICS
hud_window_ftl                          FTL
hud_window_sectormap					SECTOR MAP
hud_window_score                        SCORE
hud_window_editor                       EDITOR
hud_window_stargate                     STARGATE
hud_window_techtree                     RESEARCH
hud_window_storage                      STORAGE ZONES

hud_scoresystem_population              Population
hud_scoresystem_sectorjump              Sector Jump

hud_overlays							OVERLAYS
hud_overlay_cables                      Cables
hud_overlay_pipes                       Pipes
hud_overlay_walls                       Walls
hud_overlay_atmosphere                  Atmosphere
hud_overlay_exterior                    Exterior
hud_overlay_habitation					Habitation Deck
hud_overlay_jobs						Jobs
hud_overlay_structure                   Structure
hud_overlay_schematic                   Schematic
hud_overlay_creativemode                - Creative Mode -

hud_doors								DOORS
hud_doors_openall						Open All
hud_doors_closeall						Close All
hud_doors_openvents						Open Vents
hud_doors_closevents					Close Vents

hud_orders								ORDERS
hud_install                             Install 
hud_uninstall							Dismantle
hud_status_allocated					Allocated
hud_status_inprogress					In Progress
hud_storage								Storage
hud_zones								Zones
hud_storage_cargo						ANY CARGO
hud_storage_equipment				    ANY EQUIPMENT
hud_storage_component                   Any Components
hud_editor                              EDITOR

hud_shipyard                            Shipyard
hud_shipyard_buildhull					Build Hull
hud_shipyard_buildinterior				Build Interior
hud_shipyard_buildarmour				Install Armour 
hud_shipyard_buildscaffold				Build Scaffold
hud_shipyard_buildhabitation            Add Habitation Deck
hud_shipyard_buildrepairone             Repair 100 Damage
hud_shipyard_buildrepairall             Repair ALL Damage
hud_shipyard_buildbuyfromlibrary        Buy ship
hud_shipyard_selectship                 Select a ship

hud_tooltip_leftclickplace              [LMB] Place
hud_tooltip_leftclickbuild              [LMB] Build
hud_tooltip_leftclickdismantle          [LMB] Dismantle
hud_tooltip_leftclickresearch           [LMB] Research
hud_tooltip_rightclickcancel            [RMB] Cancel
hud_tooltip_rightclickclear             [RMB] Clear
hud_tooltip_rightclickdelete            [RMB] Delete
hud_tooltip_rightclickpurge             [RMB] Purge
hud_tooltip_leftclickchangerecipe       [LMB] Cycle recipe
hud_tooltip_rightclickconfigure         [RMB] Configure
hud_tooltip_rotate                      [R] Rotate
hud_tooltip_boxed                       [BOXED]
hud_tooltip_charge                      Charge
hud_totalproduction                     TOTAL PRODUCTION

hud_mission_collection                  MISSION COLLECTION UNDERWAY

hud_layer_hostile                       HOSTILE
hud_layer_derelict                      DERELICT
hud_layer_forsale                       [FOR SALE]

hud_trade_incoming                      TRADE INCOMING
hud_trade_owed                          TRADE OWED
hud_drones_deployed                     WARNING - DRONES DEPLOYED: *X
hud_spacewalking_crew                   WARNING - CREW IN SPACE: *X

hud_invalidplacement                    INVALID PLACEMENT
hud_invalidplacement_tooltip            This equipment can not function properly when installed in this position.

communicator_incomingcall               INCOMING HAIL...

# =============================================================================
# Welfare
# =============================================================================

welfare_overlay_severely_dehydrated     CREW SEVERELY DEHYDRATED
welfare_overlay_dehydrated              CREW DEHYDRATED
welfare_overlay_thirsty                 CREW THIRSTY

welfare_overlay_famished                CREW FAMISHED
welfare_overlay_starving                CREW STARVING
welfare_overlay_hungry                  CREW HUNGRY

# =============================================================================
# Equipment
# =============================================================================

equipment_temperature_short             TEMP
equipment_power                         POWER
equipment_output                        OUTPUT
equipment_blocked                       BLOCKED

equipment_factory_stop                  STOP
equipment_factory_stopped               STOPPED
equipment_factory_refine                Refine *X
equipment_factory_make                  Make *X

equipment_robotarm_nopickup		        SELECT TYPE
equipment_robotarm_pickupnone		    NONE
equipment_robotarm_forcedrop			FORCE DROP

equipment_weaponsconsole_noselection       SELECT WEAPON
equipment_weaponsconsole_deselect          NONE
equipment_weaponsconsole_locked            SLOT *X LOCKED
equipment_weaponsconsole_extradescription  *X Connected weapons
equipment_weaponsconsole_connected         Controlled by Weapons Console

factory_stockpileoutput                 STOCKPILE
factory_stockpileoutput_tooltip         STOCKPILE\n\nWhen ticked, the produced items will be immediately unloaded into any cargo storage area, stockpiling the item.\n\nIf unticked, the produced item will remain until it is used somewhere, or until there is specific cargo space available.

        
# =============================================================================
# Ship Editor
# =============================================================================

shipeditor_commit                       CONFIRM
shipeditor_shipyardrequired1            You must visit a Shipyard
shipeditor_shipyardrequired2            to apply your modifications
shipeditor_mode_hull                    Hull
shipeditor_tooltip_hull                 Modify the shape of your spaceship hull
shipeditor_mode_interior                Floors
shipeditor_tooltip_interior             Open up the interior of your spaceship to create cabins
shipeditor_mode_walls                   Walls
shipeditor_tooltip_walls                Build walls inside your spaceship to partition the interior space
shipeditor_mode_armour                  Armour
shipeditor_tooltip_armour               Upgrade your hull with armour panels to absorb damage
shipeditor_mode_habitation              Habitation
shipeditor_tooltip_habitation           Expand your habitation deck to support more crew and passengers
shipeditor_mode_scaffold                Scaffold
shipeditor_tooltip_scaffold             Add scaffolding to support equipment on the exterior of your ship
shipeditor_mode_dock                    Dock
shipeditor_tooltip_dock                 Install a docking port. Every ship needs at least one functioning docking port.
shipeditor_mode_deconstruct             Destroy
shipeditor_tooltip_deconstruct          Deconstruct your ship square by square
shipeditor_mode_createship              Create Ship
shipeditor_tooltip_createship           Create an entirely new ship from scratch
shipeditor_mode_spawn                   Spawn
shipeditor_tooltip_spawn                Spawn equipment and resources inside your ship. (Creative Mode only)
shipeditor_brush_freehand               FREEHAND
shipeditor_brush_box                    BOX TOOL
shipeditor_price_button                 Cost

shipeditor_stat_Mass                    Mass
shipeditor_stat_Toughness               Toughness
shipeditor_stat_Capacity                Capacity
shipeditor_stat_Value                   Value

shipeditor_symmetry                     SYMMETRY
shipeditor_symmetry_short               S
shipeditor_symmetry_leftclickdrag       [LMB] Drag
shipeditor_symmetry_rightclicktoggle    [RMB] Toggle

    
# =============================================================================
# Interstellar Travel 
# =============================================================================

interstellar_travel						INTERSTELLAR TRAVEL

galaxymap_title							SECTOR MAP
galaxymap_entrysystem					Arrival
galaxymap_exitsystem					To Next Sector
galaxymap_fleet							FLEET
galaxymap_unreachable					UNREACHABLE
galaxymap_civilians                     CIVILIANS
galaxymap_noescape						NO ESCAPE
galaxymap_colony						COLONY
galaxymap_starbase						STARBASE
galaxymap_shipyard						SHIPYARD
galaxymap_distresscall					DISTRESS CALL
galaxymap_derelict						DERELICT
galaxymap_hostile                       HOSTILES
galaxymap_objectives                    SECTOR CONTRACTS
galaxymap_comet                         COMET
sector_start                            HOME SECTOR

galaxymap_endof                         END OF
galaxymap_demo                          DEMO
galaxymap_playtest                      PLAYTEST


# =============================================================================
# Power Grid
# =============================================================================

powergrid_title							POWER GRID
powergrid_power                         POWER
powergrid_category_reactor              REACTOR
powergrid_category_battery              BATTERY
powergrid_category_engines              ENGINES
powergrid_category_FTL                  FTL
powergrid_category_weapons              WEAPONS
powergrid_category_defenses             DEFENSES
powergrid_category_lifesupport          LIFE SUPPORT
powergrid_category_logistics			LOGISTICS
powergrid_category_science   			SCIENCE
powergrid_category_other                OTHER


# =============================================================================
# Trade
# =============================================================================

trade_title                             TRADE
trade_category_equipment                Equipment
trade_category_resource                 Resource
trade_category_reagent                  Reagent
trade_cash                              Cash
trade_confirm                           CONFIRM
trade_buy                               BUY
trade_sell                              SELL
trade_cannot                            CANNOT
trade_afford                            AFFORD
trade_cannot_afford                     CANNOT AFFORD
trade_cost                              Cost
trade_cost_price                        Cost: *X
trade_profit                            Profit
trade_showoutofstock                    Show out of stock

trade_overlay_price                     PRICE
trade_overlay_them                      THEM
trade_overlay_you                       YOU
trade_overlay_boxed                     [boxed]

trade_window_Energy                     Energy
trade_window_Propulsion                 Propulsion
trade_window_Habitation                 Habitation
trade_window_Defense                    Defense
trade_window_Industry                   Industry
trade_window_Logistics                  Logistics
trade_window_Science                    Science
trade_window_Resources                  Resources
trade_window_Components                 Components
trade_window_Crew                       Crew

trade_equipment_size                    - Size *X x *Y
trade_equipment_rotatable               - Rotatable
trade_equipment_powered                 - Powered
trade_equipment_charge                  - Charge (per use) : *X MW
trade_stack                             Stack of *X
trade_boxed                             Boxed
trade_component                         Component
trade_sell_ship                         SELL SHIP

trade_allitems                          ALL ITEMS

trade_tooltip_buy                       [LMB] Buy
trade_tooltip_sell                      [LMB] Sell
trade_tooltip_cancel                    [RMB] Cancel
trade_tooltip_shift                     [SHIFT] x5
trade_ourstock                          You have *X on-board
trade_buying                            Buying *X
trade_selling                           Selling *X
trade_tooltip_canceltrade               [LMB] Cancel
trade_tooltip_cancelalltrade            [RMB] Cancel All

trade_profit                            *X PROFIT
trade_cost                              COST *X
trade_cash                              CASH *x


# =============================================================================
# Tech Tree
# =============================================================================

techtree_title                          RESERACH
techtree_researched                     RESEARCHED
techtree_available                      AVAILABLE
techtree_unavailable                    REQUIREMENTS NOT MET
techtree_in_progress                    RESEARCH IN PROGRESS
techtree_busy                           RESEARCHERS ARE BUSY
techtree_cost_RP                        Cost: *X RP
techtree_cost_CP                        Cost: *X CP
techtree_cost_RP+CP                     Cost: *X RP + *Y CP
techtree_currentResearch                Currently Researching:
techtree_researchPoints                 Research Points:
techtree_computationPoints              Computation Points:
techtree_rewards                        Rewards:
techtree_unlocks                        Unlocks:
techtree_boosts                         Performance Boosts:
techtree_blueprint                      Blueprint
techtree_deselect                       Deselect
techtree_accept                         Begin Research
techtree_warning                        WARNING!
techtree_lose_progress                  Starting a new research project will lose all progress on the current one
techtree_missing_equipment              This research project requires a *X to be completed

techtree_node_title_FluidLogistics1              Fluid Logistics Level 1
techtree_node_caption_FluidLogistics1            Unlocks schematic for Small Tank
techtree_node_title_FluidLogistics2              Fluid Logistics Level 2
techtree_node_caption_FluidLogistics2            Unlocks schematic for Medium Tank
techtree_node_title_FluidLogistics3              Fluid Logistics Level 3
techtree_node_caption_FluidLogistics3            Unlocks schematic for Large Tank
techtree_node_title_Automation                   Factory Automation
techtree_node_caption_Automation                 Unlocks schematic for Track and Robot Arm
techtree_node_title_CompactAutomation            Compact Automation
techtree_node_caption_CompactAutomation          Unlocks schematic for Short Robot Arm
techtree_node_title_SmartAutomation              Smart Automation
techtree_node_caption_SmartAutomation            Unlocks schematic for Smart Robot Arm
techtree_node_title_Metallurgy1                  Metallurgy Level 1
techtree_node_caption_Metallurgy1                Smelters produce 20% more output
techtree_node_title_Metallurgy2                  Metallurgy Level 2
techtree_node_caption_Metallurgy2                Smelters produce 40% more output
techtree_node_title_EnergyTransmission           Energy Transmission
techtree_node_caption_EnergyTransmission         Unlocks schematic for Energy Transmitter and Receiver
techtree_node_title_WeaponsConsoleExtraSlot1     Weapons Console Extra Slot
techtree_node_caption_WeaponsConsoleExtraSlot1   Weapons Console can now connect to 3 weapons at a time
techtree_node_title_WeaponsConsoleExtraSlot2     Weapons Console Extra Slot
techtree_node_caption_WeaponsConsoleExtraSlot2   Weapons Console can now connect to 4 weapons at a time

boost_SmelterEfficiency                 Smelter Efficiency +*X%
special_WeaponsConsoleSlot3             Weapons Console 3rd Slot
special_WeaponsConsoleSlot4             Weapons Console 4th Slot

techtree_editor_save                    SAVE CHANGES
techtree_editor_reset                   RELOAD TREE
techtree_award_title                    RESEARCH COMPLETED
award_rewards                           Rewards

# =============================================================================
# Tactical Window
# =============================================================================

tactical_docked                         --- DOCKED ---
tactical_undock                         UNDOCK
tactical_throttle                       THROTTLE
tactical_detach_all                     DETACH ALL
tactical_velocity                       VELOCITY
tactical_evasion                        EVASION
tactical_weapons                        WEAPONS
tactical_fire                           FIRE
tactical_hold                           HOLD
tactical_maneuvering                    MANEUVERING
tactical_damaged                        DAMAGED
tactical_reloading                      RELOADING
tactical_lowpower                       LOW POWER

# =============================================================================
# Logistics Window
# =============================================================================

logisticswindow_title                   LOGISTICS

logistics_tooltip_transfer              [LMB] Transfer 1 from *X


# =============================================================================
# Missions / Contracts
# =============================================================================

missions_title							CONTRACTS
mission_accept							Accept
mission_accepted						Accepted
mission_acceptonlayer                   Accept and assign to *X
mission_assignedtolayer                 Accepted and assigned to L*X
mission_cannotassigntolayer             Cannot assign to *X

mission_episode_1                       EPISODE 1
mission_deliver							Deliver
mission_turnin							Turn in contract
mission_completed						COMPLETED
mission_missioncompleted                CONTRACT COMPLETED
mission_paymenttitle                    Payment
mission_paymentcash                     PAYMENT *X
mission_payment							Payment will be $*X.
mission_paymentinflation                (The client is offering *Xx more money than usual)
mission_paymentinflationpercent         (The client is offering *X% more money than usual)
mission_contractcompleted				Contract Completed
mission_cannotaccept                    You cannot accept this mission
mission_special                         Special Mission
mission_new                             NEW
mission_illegal                         ILLEGAL ACTIVITY
mission_assignedto                      (Assigned to *X)

mission_requires_equipment              Contract requires Equipment : *X
mission_requires_stock                  Contract requires *X
mission_requires_combatvessel           Contract requires armed combat vessel
mission_requires_cabinspace             Contract requires at least *X free cabins  
mission_requires_combatrating           You require a Combat Rating of at least *X
mission_requires_industryrating         You require an Industry Rating of at least *X
mission_requires_logisticsrating        You require a Logistics Rating of at least *X
mission_requires_humanitarianrating     You require a Humanitarian Rating of at least *X
mission_requires_notindemo              Unavailable to demo players
mission_difficulty                      This mission has been assigned a difficulty rating of *X.

mission_requirement_passed              [PASSED]
mission_requirement_failed              [FAILED]

mission_type_delivery					Delivery
mission_delivery_title					Courier mission: Deliver cargo to nearby system
mission_delivery_titlefurther			Deliver cargo to another sector
mission_delivery_description			I've got *X boxes of supplies that need delivering.
mission_delivery_descriptionfurther		The destination is *Y Sector Jumps away, in Sector *X.
mission_delivery_destination			The destination is in this sector, at star system *X.
mission_delivery_timed                  These goods are required immediately. You'll have just *X minutes. (+50% pay)
mission_delivery_timeremaining          You have just *X seconds remaining to make the delivery!
mission_delivery_outoftime              It is too late - you will no longer be paid for the remaining cargo.
mission_delivery_shuttle				A shuttle is on route to you now with the supplies.
mission_delivery_delivery				Supplied *X out of *Y items.
mission_delivery_alldelivered			All cargo has been supplied. Good luck.
mission_delivery_turnin					A shuttle is on its way to collect the cargo.
mission_delivery_received				Received *X out of *Y items. Total payment due $*Z.
mission_delivery_toolate                Received *X out of *Y items, but the time limit has now expired.
mission_delivery_lost                   The remaining *X items of cargo are unaccounted for.
mission_delivery_wrongdestination       Some of the cargo has been delivered to the wrong location. You will not be paid.
mission_delivery_success                Delivered *X out of *Y items

mission_type_passengers					Transport passengers
mission_passengers_title				Urgent passenger transport request
mission_passengers_titlefurther			Passengers require transport across sectors
mission_passengers_description			There is a group of *X civilians who are looking for safe transit.
mission_passengers_descriptionfurther	Their destination is *Y Sector Jumps away, in Sector *X.
mission_passengers_destination			Their destination is in this sector. Drop them off at star system *X.
mission_passengers_requirements         Your ship will need enough free cabins in your habitation deck.
mission_passengers_shuttle				They are on their way to you now and will dock shortly.
mission_passengers_delivery				*X out of *Y passengers are on board.
mission_passengers_alldelivered			That's it, all passengers are on board your ship. Travel safe commander.
mission_passengers_turnin				Welcome! We've dispatched a shuttle to collect the passengers.
mission_passengers_received				*X passengers out of *Y have made it safely to their destination. Total payment due $*Z.
mission_passengers_lost                 *X passengers did not arrive at the destination safely.
mission_passengers_wrongdestination     Passengers have been dropped off at completely the wrong destination! You will not be paid for them.
mission_passengers_success              Transported *X out of *Y passengers

mission_type_refugees                   Refugees
mission_refugees_title                  Take permanent refugees into your care
mission_refugees_description            We have *X civilians living here who have nowhere to go, and no way to escape the void before it arrives.
mission_refugees_description2           Find a place for them in your fleet, look after them, and we will be forever grateful.
mission_refugees_requirements           Your ship will need enough free cabins in your habitation deck.
mission_refugees_alldelivered			All of the refugees are on board. We wish you the best of luck, commander.
mission_refugees_received               *X out of *Y passengers are on board. Total payment $*Z.

mission_type_rescue                     Rescue
mission_rescue_title                    Rescue civilians from wrecked ship
mission_rescue_description1             A ship has become stranded with engine troubles, and the crew need an immediate rescue.
mission_rescue_description2             The damaged ship is nearby in system *X. Hurry!
mission_rescue_description2b            The ship is in the next sector.
mission_rescue_description3             There are *X crew on board, and they must be dropped off safely somewhere nearby.
